City,State,Country,Continent,Play Count
Riyadh,Riyadh Region,Saudi Arabia,Asia,1
Jeddah,Mecca Region,Saudi Arabia,Asia,9
Hamburg,Free and Hanseatic City of Hamburg,Germany,Europe,1
Stockholm,Stockholm County,Sweden,Europe,3
Edinburgh,Edinburgh,United Kingdom,Europe,6
Ghent,East Flanders Province,Belgium,Europe,3
Navi Mumbai,Maharashtra,India,Asia,1
Cebu City,Province of Cebu,Philippines,Asia,1
Chelsea,Royal Kensington and Chelsea,United Kingdom,Europe,1
Leuven,Flemish Brabant Province,Belgium,Europe,3
Kampala,Kampala District,Uganda,Africa,5
Makkah,Mecca Region,Saudi Arabia,Asia,2
Prayagraj,Uttar Pradesh,India,Asia,1
Rennes,Ille-et-Vilaine,France,Europe,2
Monza,Monza Brianza,Italy,Europe,1
Bialystok,Podlasie,Poland,Europe,1
Luleå,Norrbotten County,Sweden,Europe,2
Umeå,Västerbotten County,Sweden,Europe,1
Limassol,Limassol District,Cyprus,Asia,1
Guyancourt,Yvelines,France,Europe,1
Épinay-sur-Seine,Seine-Saint-Denis,France,Europe,1
Hemiksem,Antwerp Province,Belgium,Europe,1
Essaouira,Essaouira Province,Morocco,Africa,1
Runyenjes,Embu District,Kenya,Africa,1
Soria,Soria,Spain,Europe,1
Bungoma,Bungoma District,Kenya,Africa,5
Rotselaar,Flemish Brabant Province,Belgium,Europe,1
Kiserian,Kajiado District,Kenya,Africa,2
Syracuse,Syracuse,Italy,Europe,1
Lilongwe,Lilongwe District,Malawi,Africa,18
Kapsabet,Nandi South District,Kenya,Africa,1
Aizu-wakamatsu Shi,Fukushima-ken,Japan,Asia,4
Karen,Nairobi Province,Kenya,Africa,1
Joao Teves,São Lourenço dos Órgãos,Cabo Verde,Africa,1
Mbabane,Hhohho,eSwatini,Africa,1
Asa Khera,Haryana,India,Asia,1
Patignies,Namur Province,Belgium,Europe,1
Bafoussam,West Region,Cameroon,Africa,1
Luanda,Busia District,Kenya,Africa,1
Watamu,Kilifi District,Kenya,Africa,1
Takwa,Central Region,Ghana,Africa,1
Norton,Mashonaland West,Zimbabwe,Africa,1
Mwea,Makueni District,Kenya,Africa,2
Ajram,Punjab,India,Asia,1
Wattignies-la-Victoire,North,France,Europe,1
Nkubu,Meru,Kenya,Africa,8
Sagana,Kirinyaga District,Kenya,Africa,1
`Izbat Dhu al Fiqar,,Egypt,Africa,2
