App,Percent of Plays
Web Browser,0.49223946784922396
Apple Podcasts,0.30155210643015523
Spotify,0.12416851441241686
Google Podcasts,0.031042128603104215
Anchor,0.026607538802660754
Other,0.024390243902439025
